Primary_User	Article1	Article2	Article3	Article4	Article5	Article6	Article7	Article8	Article9	Article10
User_10006.txt	Asia_10005.txt	Asia_15889.txt	Showbiz_16138.txt	Asia_10636.txt	Showbiz_15268.txt	Showbiz_13263.txt	Showbiz_9219.txt	World_11495.txt	Asia_10910.txt	World_14250.txt
User_10010.txt	Asia_10006.txt	Asia_13923.txt	Asia_13657.txt	Asia_13686.txt	Asia_12781.txt	Asia_9283.txt	Asia_12213.txt	Asia_12298.txt	Asia_12706.txt	Asia_13069.txt
User_100414.txt	Asia_10041.txt	Asia_10040.txt	Asia_11507.txt	Asia_10014.txt	Asia_16131.txt	Asia_10006.txt	Asia_10005.txt			
User_10048.txt	Asia_10042.txt	Asia_15334.txt	Asia_12424.txt	Asia_15152.txt	Asia_15208.txt	Asia_14295.txt	Asia_9501.txt	Asia_12264.txt	Asia_15614.txt	Asia_12330.txt
User_100484.txt	Asia_10043.txt	Asia_10042.txt	Singapore_16037.txt	Singapore_9481.txt	Asia_15472.txt	Asia_10750.txt	Asia_12953.txt	Asia_10127.txt	Singapore_13975.txt	Sports_10054.txt
User_10052.txt	Asia_10043.txt	Singapore_15154.txt	Showbiz_12754.txt	Asia_9953.txt	Showbiz_13416.txt	Asia_13339.txt	Sports_11410.txt	Asia_11477.txt	Singapore_13559.txt	Showbiz_11516.txt
User_100856.txt	Science_14966.txt	Sports_16097.txt	World_15040.txt	World_14807.txt	Science_9805.txt	World_15172.txt	Sports_13119.txt	Singapore_15226.txt	Asia_10005.txt	Asia_12954.txt
User_1009.txt	Asia_10081.txt	Crime_12445.txt	Science_14926.txt	World_10563.txt	Crime_10793.txt	Asia_11527.txt	Singapore_15773.txt	World_15171.txt	Asia_14952.txt	Singapore_15155.txt
User_10092.txt	Asia_15474.txt	Asia_13658.txt	Crime_12841.txt	Asia_10081.txt	Asia_10005.txt	Asia_13619.txt	Asia_14426.txt	Sports_12039.txt	World_16078.txt	Asia_13540.txt
User_100975.txt	Asia_10082.txt	Asia_11006.txt	Asia_10005.txt	Asia_15887.txt	Asia_12952.txt	Asia_13747.txt	Asia_13588.txt	Asia_15490.txt	Asia_12178.txt	Asia_14105.txt
User_10108.txt	Asia_10090.txt	Asia_10088.txt	Asia_15676.txt	Asia_10327.txt	Asia_10372.txt	Asia_10265.txt	Asia_10083.txt	Asia_16238.txt	Asia_10006.txt	Asia_10660.txt
User_101194.txt	Asia_11528.txt	Asia_16147.txt	World_9684.txt	Asia_10005.txt	Asia_13798.txt	Asia_10752.txt	Singapore_11766.txt	Asia_15244.txt	Asia_15891.txt	Asia_9415.txt
User_10121.txt	World_10239.txt	Showbiz_15982.txt	Showbiz_14349.txt	Asia_11035.txt	World_12771.txt	World_12174.txt	Singapore_13670.txt	World_12780.txt	Asia_12727.txt	Showbiz_12232.txt
User_10125.txt	Asia_10102.txt	Asia_10101.txt	Asia_9675.txt	Science_9652.txt	Asia_10005.txt	Singapore_11766.txt	Asia_9585.txt	Asia_10127.txt	World_9230.txt	Asia_12568.txt
User_101380.txt	Asia_12298.txt	Crime_15942.txt	World_9924.txt	Asia_14936.txt	World_14897.txt	Asia_11395.txt	Crime_11827.txt	World_11700.txt	Crime_14622.txt	World_14732.txt
