UserId,UserName
7873,amfreeaccess
20536,O$P$ !
7515,mimosatree
10488,appletree088
5014,BigOx1966
22948,suxmenzz
12589,xinjiapore
4339,A1Team
4341,Posted
8880,leechron
13622,Pro-Govt
7043,Songshus
22273,~~P@P~~
13524,kooldog59
4630,EnigmaE
23193,tony.cheo
22807,hehehehahaha
21383,Son of Singapore
5338,terkan
21555,Mocking Bird
20928,bettersingapore
7348,Goodbye
12686,jim007jimmyboy
21387,joburgdurban
5371,phangfg
8022,snowyyen
14004,icemanV
15641,WHizB133
15553,Small Fly
4993,muppet
4771,centurion
15057,henghenglor
10225,MonkeyBusters
13231,OurVoice
19620,unhappy
15575,last_laugh
7484,harlym
19465,Tengkokok
12236,Ringabell
12366,RedDotter1
15763,BicCherry
6836,Peter Low
9234,shylock
5345,Wong Keat Wai
12351,TruthfulSporean
4536,bornloser
15044,johnnykwek
21959,Chemistry78
22411,maxmaxmax
10407,BroncoBilly
9263,Sufferer:(
12459,soldierblue
13123,DigitalOne Readers Posted
12163,Bamamian
23301,cscstoh88
23114,smickno
10156,caitao ng
14222,Ssquirrel
21076,christang
20394,jameslee58
11775,perceivedtobe
21815,sbredsox
4363,old_dilbert
13127,nappys
14063,tuaSoyLiap
15351,My1centworth
10960,roadrunerboi
9781,davelim881
5664,wibi91
4766,ILostMyBall
12184,honkypong
11760,aandglib4
4418,sure_win
5567,commonpeople
13406,Simplicity
23010,myarchangel1
15570,Sukhoi27
7326,Sugoku01
8691,UNobserver
12172,Power Cuts
13716,singaparadise
7541,micky2008
13180,Noobcake
20128,marketwatcher
5373,harrytan69
11402,knotted
19404,manjieass
14261,OrdiNance
19730,Leonopteryx
19363,kuntakinte775
19981,IndignantFemale
5130,Super Gal
23077,MaoDeeSoh
9972,Frivolous
7929,BulletTrain
4357,Allthetime
22315,arsenal_84
5909,Magenta
13077,Redember
8642,Twinsen
22430,stomptroop
22157,missyulia
12487,PJL001
4482,chieftain
14620,yfk51
9155,LouisSG74
19494,LittleRedNanoDot
7636,sianchew
22699,A1ForeignTalent
21903,Engineer
4675,Goldmine
6195,seabees76
22592,zzlee789
23060,SicknTiredOfExcuses
6308,tanlee18
5015,onemillionworth
5571,DuLichDat
11870,gtrick90
796,somethingwrong
4461,lukeehong
11647,wongsokm
9529,working_class
15479,nyonyanyonya
5538,WanWan
8940,Tigerleo
5377,Freesoul
6455,Suanming
4902,ManOnTheStreet
20509,maverickz2009
6741,nolapl
22695,singish0
14296,JanitorPML
21993,itisnottrue
22360,Pinnacledeal
10855,chooster
10657,nls4757
8998,Lieberato
20560,moneySGalive
6437,mountaingoat
23141,NewYorkSingaporean
22986,moligan
13105,123foster
20679,BaoChingTian
19797,AnakSinga
13052,lEtS_G0!!!
4530,Simple Minded
7107,blissfully_ignorant
8001,gigfunkel
13924,kungfupanda08
19942,useyourblain
7268,bluntalk
9131,OrPehKong
11305,Hamachitoro
6584,verifunny
13124,EightCharacters
6594,freecomment
6453,Dancatng
10750,Er....
12040,The Guru Al
21559,GoyPrid&#279;
20369,bluesky
20712,ANKOTB
15540,JUSTSPOREAN
10604,sporeans
19922,internetexplorer
6686,poppyseed
10482,middleman
6358,phantoma
23350,sibehjialat
22484,esceptional
4958,New Wave
4576,loyal citizen
7002,tengahsen
20615,kangxiii
9447,sayMacZZ
5180,sunspots
21653,trento147
4601,heavenlyangel
23110,sorisori
7899,me_citizen
23257,whywhywhywhywhywhy
15185,toaSoyliap
14567,GarfieldOnIce
15551,wisemanlee
20278,Ayan Bored
22340,Advnetwk
7802,kaixinma
12625,itangg12
19346,xmenintown
10726,singOne
8489,garone
11663,kelvintanweimin
15600,holysh8t
6309,Zokozoko
5611,HoldItThere
6512,xfire2359
5207,PAPinged
10647,willieregister
5278,nikleica
15124,amfreeeaccess
13037,NewNathan
11064,xtreme6
8311,Time2act
21985,BornInThe60s
20572,Deokmann
9303,smc_6767
9984,saythatagain
8662,people
21274,I&#9829;Singapore
14051,safetyonz
4395,gA1ntz
10741,lovemelovemenot
21900,HiGuys69
22802,Gold_Sands
7950,karl-heinz
7714,kiasilang
5723,mediacock
4549,gundamwingX
5783,AngryMonk
13776,Zuijiadeai
11159,sgbudwiser
8564,hangtenman
23205,selfproclaim
20782,Dracula
21122,chromiumm
9314,kimkooi88
6140,Sanity_Vocal
6458,lhy77777
791,dumb
9345,infernolord
13350,Giam Lan Kang
21683,gigolo2828
10757,Grave69
12714,Mei Mei
22043,onevoice
13137,Dragonfly333
7232,whistlebl0wer
19462,iona2000
6939,Eucalyptus
11175,JudgementDay2012
20173,blackhole111
22909,theridge
9363,redstar19
20977,allnonsenseatst
7413,grandfather
22041,genius
5049,Wiseman1
8287,sinkapoorean
21208,DarkVader
21560,BlackVindicator
21678,CHC Overseer
13356,henryave
7351,ronaldtham
4658,crawfish
7111,lionking
26214,tmfoo888
29640,Beep1234
29885,hfourhappy
27840,DimpleGuy
22425,Hello Name
32000,asiaoner
54515,maipenrai
34243,igodwhatuwant
53665,fei.long
96932,autoauto
84080,BALONGLONG
45924,Pinetrees
83508,LouisEcel74
31732,lao.leeky
20882,slg848wwg010
120880,kokoyoyo
5047,vincesgp
4989,JAFCO
11373,kohsy
14844,allanyam
6880,Vachtung
6109,SotSotTay1
5141,bohliao
14636,Monkeyface
5281,boonlaysg
11868,Watsup813
7944,Kasz2001
11367,MYOBAdvise
5356,A_Commoner
31944,You pj ah :)
21709,NobodyButMe
15329,Ontrainingmode
20683,Yellowbirdie
8533,blueskyle03
13130,Black Vindicator
5259,BlackDragon
20400,yylau
7980,Ron Lim
23338,NasalisLarvatus
23313,chinktan
13017,wayangshow
23275,honeyqiqi
22429,&#20004;&#26397;&#20803;&#32769;
23467,Mocking_Bird
23472,black_vindicator
23729,Is_Enough
22334,tigerbean
20348,paastaquack
4947,optio209
27091,jessjessnow
27030,john_wai
24435,streetsmartfighter
29114,twinkywinky
27088,SGnetizenparty
15130,Twiste2
30415,williano
30272,crapbuster
30853,goondoon
9394,ivan1973
41457,sghunk888
31588,Seemun48
29013,baoxingtian
39172,Lieberat
41396,summerhill
24213,WBWBWBWIBI
4348,geewheez
100414,Shock_Me
24485,subzero7
28482,rideconti
100975,tomsout001
31572,SingaporeUncle
66680,CaringGuardian
4935,thinkbig
8353,GateCrasher
10793,Khiscage
5290,clerics
14697,redhill111
23116,Resident Evil
