Primary_User	Article1	Article2	Article3	Article4	Article5	Article6	Article7	Article8	Article9	Article10
7873	SGNews/Asia_10908.txt	SGNews/Asia_11792.txt	SGNews/Asia_10580.txt	SGNews/Asia_13656.txt	SGNews/Asia_13650.txt	SGNews/Asia_11795.txt	SGNews/Asia_10121.txt	SGNews/Asia_12242.txt	SGNews/Asia_12504.txt	SGNews/Asia_13743.txt
20536	SGNews/Asia_13929.txt	SGNews/Asia_11707.txt	SGNews/Asia_10789.txt	SGNews/Asia_12513.txt	SGNews/Asia_10710.txt	SGNews/Asia_11468.txt	SGNews/Asia_13588.txt	SGNews/Asia_10152.txt	SGNews/Asia_10199.txt	SGNews/Asia_11358.txt
7515	SGNews/Asia_10645.txt	SGNews/Asia_11570.txt	SGNews/Asia_11764.txt	SGNews/Asia_12125.txt	SGNews/Asia_13841.txt	SGNews/Asia_12243.txt	SGNews/Asia_12312.txt	SGNews/Asia_13816.txt	SGNews/Asia_13429.txt	SGNews/Asia_13555.txt
10488	SGNews/Asia_11065.txt	SGNews/Asia_10048.txt	SGNews/Asia_11463.txt	SGNews/Asia_13890.txt	SGNews/Asia_10151.txt	SGNews/Asia_10198.txt	SGNews/Asia_13950.txt	SGNews/Asia_13652.txt	SGNews/Asia_10341.txt	SGNews/Asia_11675.txt
5014	SGNews/Asia_12038.txt	SGNews/Asia_11085.txt	SGNews/Asia_13588.txt	SGNews/Asia_13595.txt	SGNews/Asia_11109.txt	SGNews/Asia_10043.txt	SGNews/Asia_13656.txt	SGNews/Asia_10358.txt	SGNews/Asia_13575.txt	SGNews/Asia_11211.txt
22948	SGNews/Asia_12264.txt	SGNews/Asia_11478.txt	SGNews/Asia_12881.txt	SGNews/Asia_13745.txt	SGNews/Asia_10152.txt	SGNews/Asia_10199.txt	SGNews/Asia_13643.txt	SGNews/Asia_13574.txt	SGNews/Asia_13930.txt	SGNews/Asia_11236.txt
12589	SGNews/Asia_11707.txt	SGNews/Asia_10710.txt	SGNews/Asia_10083.txt	SGNews/Asia_12593.txt	SGNews/Asia_13589.txt	SGNews/Asia_13336.txt	SGNews/Asia_12504.txt	SGNews/Asia_10151.txt	SGNews/Asia_10198.txt	SGNews/Asia_10785.txt
4339	SGNews/Asia_11507.txt	SGNews/Asia_10006.txt	SGNews/Asia_13657.txt	SGNews/Asia_11688.txt	SGNews/Asia_12569.txt	SGNews/Asia_10082.txt	SGNews/Asia_13320.txt	SGNews/Asia_10988.txt	SGNews/Asia_13394.txt	SGNews/Asia_12154.txt
4341	SGNews/Asia_11707.txt	SGNews/Asia_10083.txt	SGNews/Asia_11505.txt	SGNews/Asia_13337.txt	SGNews/Asia_12512.txt	SGNews/Asia_13588.txt	SGNews/Asia_13749.txt	SGNews/Asia_11790.txt	SGNews/Asia_10765.txt	SGNews/Asia_13651.txt
8880	SGNews/Asia_11707.txt	SGNews/Asia_10083.txt	SGNews/Asia_13338.txt	SGNews/Asia_13590.txt	SGNews/Asia_11505.txt	SGNews/Asia_10151.txt	SGNews/Asia_10198.txt	SGNews/Asia_10048.txt	SGNews/Asia_12582.txt	SGNews/Asia_10785.txt
